real_per_digit,generated_per_digit,train_size_total,test_size_total,accuracy,train_time_ms,test_time_ms
350,0,3500,2000,97.95,15507.06696510315,89.01071548461914
350,1000,13500,2000,97.95,63127.36225128174,77.11100578308105
350,1500,18500,2000,98.35,84739.77851867676,80.37304878234863
350,2000,23500,2000,98.4,124143.7258720398,107.51843452453613
750,0,7500,2000,98.75,39400.05564689636,77.41189002990723
750,1000,17500,2000,98.75,84575.6003856659,69.80252265930176
750,1500,22500,2000,98.65,111282.71555900574,89.71333503723145
750,2000,27500,2000,98.95,146689.77284431458,90.56591987609863
1000,0,10000,2000,98.75,47905.64322471619,76.74407958984375
1000,1000,20000,2000,98.9,114764.04809951782,90.47627449035645
1000,1500,25000,2000,99.0,127308.53509902954,81.8939208984375
1000,2000,30000,2000,99.2,162738.23618888855,84.2740535736084
